Unnamed: 0,TARGET.52.PADYCE.01A.01R,TARGET.52.PARTKH.01A.01R,TARGET.20.PASGCE.09A.01R,TARGET.52.PASILR.01A.01R,TARGET.20.PASHHH.09A.01R,TARGET.21.PARHRS.09A.02R,TARGET.20.PARYXV.09A.01R,TARGET.52.PAWFWK.01A.01R,TARGET.52.PASAMZ.01A.01R,TARGET.20.PAECCE.04A.01R,TARGET.52.PADWRZ.01A.01R,TARGET.20.PASIEP.09A.01R,TARGET.20.PASEYM.09A.01R,TARGET.20.PASFYF.03A.01R,TARGET.20.PAPVKG.09A.01R,TARGET.52.PASXGF.01A.01R,TARGET.20.PARFIW.03A.01R,TARGET.52.PASNED.01A.01R,TARGET.52.PAKLYZ.01A.01R,TARGET.52.PASGCL.01A.02R,TARGET.20.PASELF.09A.01R,TARGET.20.PARXEC.09A.01R,TARGET.20.PARCVP.09A.01R,TARGET.52.PAVITI.01A.01R,TARGET.52.PARZRH.01A.02R,TARGET.52.PARGRN.01A.01R,TARGET.52.PAKTCT.01A.01R,TARGET.52.PAREWI.01A.02R,TARGET.20.PASFZN.09A.01R,TARGET.52.PAJPHJ.01A.01R,TARGET.52.PAEHIP.01A.01R,TARGET.52.PAWFBL.01A.01R,TARGET.20.PASFIT.09A.01R,TARGET.52.PAKPEW.01A.01R,TARGET.52.PAJLRA.01A.01R,TARGET.52.PAJMBW.01A.01R,TARGET.20.PASAFM.09A.01R,TARGET.52.NAAELV.50B.01R,TARGET.20.PASYJI.09A.03R,TARGET.20.PARGDB.04A.02R,TARGET.21.PARXYR.41A.02R,TARGET.52.PAVCKS.01A.01R,TARGET.52.PARKKN.01A.01R,TARGET.52.PASGGN.01A.01R,TARGET.52.PAVDPR.01A.01R,TARGET.52.PAVVIT.01A.01R,TARGET.52.PATYUA.01A.01R,TARGET.21.PARZIA.09A.01R,TARGET.20.PASBHI.09A.01R,TCGA.AB.2845.03B.01T.0748.13,TCGA.AB.2888.03B.01T.0748.13,TCGA.AB.2990.03B.01T.0748.13,TCGA.AB.2803.03A.01T.0734.13,TCGA.AB.2853.03A.01T.0734.13,TCGA.AB.2826.03A.01T.0734.13,TCGA.AB.2963.03A.01T.0734.13,TCGA.AB.2818.03A.01T.0734.13,TCGA.AB.2822.03A.01T.0734.13,TCGA.AB.2806.03A.01T.0734.13,TCGA.AB.2833.03A.01T.0734.13,TCGA.AB.2834.03A.01T.0734.13,TCGA.AB.2964.03A.01T.0734.13,TCGA.AB.2839.03A.01T.0734.13,TCGA.AB.2913.03A.01T.0734.13,TCGA.AB.2904.03A.01T.0734.13,TCGA.AB.2912.03A.01T.0734.13,TCGA.AB.2917.03A.01T.0734.13,TCGA.AB.2971.03A.01T.0734.13,TCGA.AB.2916.03A.01T.0734.13,TCGA.AB.2973.03A.01T.0734.13,TCGA.AB.2957.03A.01T.0734.13,TCGA.AB.2933.03A.01T.0734.13,TCGA.AB.2977.03A.01T.0734.13,TCGA.AB.2972.03A.01T.0734.13,TCGA.AB.2942.03A.01T.0734.13,TCGA.AB.2893.03A.01T.0734.13,TCGA.AB.2878.03A.01T.0734.13,TCGA.AB.2983.03A.01T.0734.13,TCGA.AB.2985.03A.01T.0734.13,TCGA.AB.2894.03A.01T.0734.13,TCGA.AB.2984.03A.01T.0734.13,TCGA.AB.2991.03A.01T.0735.13,TCGA.AB.2937.03A.01T.0734.13,TCGA.AB.2929.03A.01T.0735.13,TCGA.AB.2997.03A.01T.0735.13,TCGA.AB.2950.03A.01T.0735.13,TCGA.AB.2996.03A.01T.0735.13,TCGA.AB.2870.03A.01T.0735.13,TCGA.AB.2880.03A.01T.0735.13,TCGA.AB.2925.03A.01T.0735.13,TCGA.AB.2891.03A.01T.0735.13,TCGA.AB.2869.03A.01T.0735.13,TCGA.AB.2897.03A.01T.0735.13,TCGA.AB.2900.03A.01T.0735.13,TCGA.AB.2881.03A.01T.0735.13,TCGA.AB.2871.03A.01T.0735.13,TCGA.AB.2901.03A.01T.0735.13,TCGA.AB.2873.03A.01T.0735.13,TCGA.AB.2886.03A.01T.0735.13,TCGA.AB.3012.03A.01T.0736.13
hsa-let-7a-1,83171,54864,312648,62388,74490,4734,318010,118659,95684,11023,99409,99941,183444,79447,21126,60470,22461,305922,88841,68456,160301,109922,42850,143534,206551,48432,196834,66621,114146,80752,129743,166239,69252,143368,100949,62013,56362,29867,154363,63463,31285,271937,198441,46213,60086,290169,27616,92600,59882,4447,3689,6375,14128,11765,12168,10342,12607,6566,5938,5007,5340,7008,8280,6256,7300,6696,5257,15482,2602,3330,2601,7137,6582,3582,3825,9187,5017,9121,5932,5477,11934,8168,3867,7067,8322,2629,5110,3868,4294,5371,2894,6480,9338,3241,6413,6235,4975,9531,4527,10176
hsa-let-7a-2,83446,54924,311701,61711,74270,4646,317240,119340,96116,10888,99135,99493,182063,79844,20964,60759,22482,306597,88477,68182,159661,109996,42713,142781,205226,48683,197611,66353,113782,80376,129508,167083,69220,143596,101059,62046,56437,29443,152811,63218,31503,272294,197279,46370,60488,291041,27665,92575,59192,4341,3740,6442,14591,11536,12004,10081,12528,6776,5822,4903,5347,6891,8508,6273,7197,6651,5089,15281,2582,3355,2554,7067,6591,3595,3797,8875,5036,9138,5839,5359,11892,8374,3764,7178,8356,2623,5091,3862,4382,5479,2953,6524,10660,3294,6446,6085,4896,9390,4577,11117
hsa-let-7a-3,83402,55520,311853,62191,74580,4660,317916,119271,96648,11118,99287,99536,182993,79590,20579,60692,22937,306037,89045,67918,158903,110503,42618,143559,207583,49767,197126,66993,113771,80476,129859,167031,69617,144666,101234,62686,56515,30141,154178,62613,31543,272415,198869,46165,59967,289753,28079,92725,59666,4431,3733,6313,14074,11484,12214,10263,12433,6594,5976,5029,5310,7025,8475,6184,7278,6751,5197,15501,2654,3281,2605,7244,6582,3627,3907,9070,5117,9282,6046,5444,11935,8013,3791,7218,8086,2641,5091,3932,4328,5360,2921,6616,9347,3384,6454,6330,4962,9626,4638,9916
hsa-let-7b,55249,13014,152752,25261,27380,4543,241699,64320,16656,23917,58617,32094,200407,39900,6915,41540,8673,195063,45849,71150,47773,91807,34814,111130,56144,31997,194543,13358,61279,45694,99441,106412,37739,111347,38982,21874,52905,1244,49397,24370,37459,189255,137908,29829,16083,222800,15109,52354,18476,5390,5689,18501,8667,26214,30358,39054,29234,6213,6823,16140,3892,6355,28307,12143,12177,12430,9791,46460,7224,13340,2495,25152,10105,2012,3918,22842,10410,18788,19260,7261,15744,7105,5528,12717,10873,2860,7734,3333,1572,20336,3056,22982,5258,16408,5731,11312,5187,24153,7568,7200
hsa-let-7c,126744,66116,4571,91765,991,125,5043,79339,21645,355,142518,4474,598,6284,56,166352,692,900580,38755,234602,4833,237,1349,132819,94777,107833,298243,161042,3687,106053,369427,152291,149,250534,1353,13533,10095,3664,9562,2245,243,50507,462772,37313,48755,323961,32653,19099,70,700,282,48,105,176,127,354,304,5191,27,45,365,950,857,467,1204,98,1044,75,44,50,217,154,37,566,642,1839,431,646,81,4788,1048,66,37,971,54,46,500,690,902,43,691,314,47,99,671,687,1549,176,17,146
hsa-let-7d,3118,1221,20422,2359,3824,1801,10354,2474,744,7795,5955,4922,4557,7695,2855,2460,2214,13235,1397,2371,5109,5634,3671,6673,2097,7723,5689,1429,3738,3846,4775,5217,2831,4771,3066,2628,8083,107,14990,18982,4318,8826,9735,1547,5440,8168,503,13930,1263,2100,1738,1584,1218,1671,2676,2054,1631,3454,3421,1786,4735,3270,1695,1225,2208,1704,1146,1770,1255,743,1220,1420,2218,2125,1588,2597,2076,2464,1998,1655,6578,3427,2205,1562,1439,1220,2123,2334,3076,712,2363,948,2171,592,2510,2195,2594,1470,1399,2582
hsa-let-7e,17054,12144,5408,24728,7455,97,3226,25927,16156,384,42951,1267,1055,6572,269,16380,1208,45159,41925,9482,1203,180,1900,36509,33995,24475,26812,21658,881,34114,47622,38527,3915,31054,22677,23161,206,4206,5563,1353,222,89611,63880,22956,25112,43226,6880,424,11663,25,45,152,281,131,228,136,212,445,205,67,221,468,280,233,152,313,246,214,29,56,224,141,165,182,125,97,475,122,130,75,866,592,499,772,190,260,191,133,125,43,64,237,503,75,320,190,2004,254,191,772
hsa-let-7f-1,37682,24790,265516,49788,61096,672,156783,28726,14504,1538,74894,174876,86639,58409,23904,47083,21003,169023,34065,48205,170206,65664,28528,102302,35502,32477,79881,24370,94467,68869,67822,103897,54886,84423,73816,37969,26783,1712,219739,63554,15683,116582,110644,25530,58507,102384,12075,75249,81264,2412,1859,2222,6297,1808,2896,1809,2848,2535,2064,969,2943,3093,1282,1410,2481,2178,1739,2520,651,735,1182,1272,2331,2302,1392,2012,1779,2490,1220,1651,5765,3314,1271,2130,2479,1290,1674,1878,2532,919,1417,1197,2285,764,2490,2010,2189,2236,1910,2537
hsa-let-7f-2,39079,24887,271114,52611,63381,700,160516,29737,15210,1494,77256,180913,87522,60916,24391,49052,20813,177853,35316,52374,176037,66613,29076,104796,36893,32813,82289,24813,98736,70811,71697,105469,56616,88713,78944,38796,27200,1703,223752,64235,15970,120739,117693,26344,59638,105516,12631,76810,82480,2428,1843,2256,6451,1753,2821,1863,3012,2652,2174,987,2983,3018,1344,1527,2526,2250,1703,2652,666,719,1199,1350,2278,2403,1425,1983,1853,2527,1203,1638,5794,3407,1232,2205,2530,1294,1657,2088,2522,905,1530,1148,2424,784,2444,2063,2275,2232,1919,2568
hsa-let-7g,5364,4832,35690,6128,12910,835,15506,4825,2387,1538,7393,17847,8581,7094,3241,6602,6069,17325,6058,7934,11060,7061,4928,13107,5405,4678,4985,3467,8185,8204,7055,13967,6301,12332,10054,5429,6385,173,9563,18813,3245,13855,17474,3744,4472,13142,1836,14858,8784,2290,1373,2698,739,2197,3764,2374,2686,2185,2040,922,2544,2917,1271,1420,2271,2236,1877,2207,997,818,1241,1355,1885,2314,1144,2043,1486,2493,1195,1790,4574,1460,1077,2488,1635,1195,1700,1634,2988,827,2063,1251,1060,535,2303,2796,1853,2409,2646,2498
hsa-let-7i,5188,2623,23452,4546,5749,540,8509,1476,788,3357,3850,6951,6008,4364,1837,3366,3118,4461,2342,2331,6016,4603,5459,5675,3054,4062,5482,1987,4338,14244,4747,7206,3875,6353,3159,3644,4442,263,6293,8802,2875,6057,4607,1291,1818,3920,1257,3667,3357,1143,1099,1495,891,595,1608,784,979,858,745,676,1394,1053,888,530,602,1125,1322,859,834,676,683,898,842,1214,1011,1104,1268,1954,497,629,1933,963,592,938,1967,634,590,1077,1174,437,1207,577,823,403,926,993,704,1430,2061,1389
hsa-mir-1-1,119,5,281,17,21,0,155,392,26,0,8,0,0,126,0,86,12,38,88,2,20,7,4,144,60,2,4,6,1,1,10,101,0,73,5,10,3,15,21,2,5,10,8,4,0,13,99,151,2,0,0,12,1,0,4,13,9,11,0,0,2,37,6,30,8,3,0,0,0,0,10,0,71,24,0,0,0,0,3,1,73,1,0,4,0,0,10,10,1,1,9,41,1,11,1,65,4,0,0,0
hsa-mir-1-2,119,9,285,14,22,0,173,382,20,0,8,2,0,138,1,80,14,43,108,2,15,3,2,170,47,3,15,6,1,2,17,134,1,76,3,19,1,15,22,0,4,8,10,3,4,20,92,160,2,0,2,18,0,0,2,15,11,8,0,1,12,30,6,26,1,0,0,0,1,0,6,0,83,31,2,1,0,0,1,1,71,0,0,3,0,0,10,3,0,1,10,40,1,5,4,82,5,2,0,1
hsa-mir-100,78366,52980,100,71316,298,43,1515,192659,49313,32,75887,2077,547,513,186,97202,25,399765,27005,176699,3793,308,7778,99911,119479,47698,470205,49438,15674,60790,111140,443052,2838,113738,204730,77069,932,300,512,1372,219,509170,150342,55963,46413,589468,18408,560,791,874,270,5979,160217,480,9747,397,454,38,129,315,342,604,817,95,105,238,566,14894,94,94,45,91,9,143,177,175,731,122,53,33,1933,24715,58,479,49394,100,202,258,232,87,331,251,92730,261,268,259,249,272,404,43033
hsa-mir-101-1,21654,8535,194643,14123,47159,436,220220,32605,14506,166,17706,64330,63541,46175,22491,14737,16313,39335,105377,23548,82169,46264,17742,44917,32535,21484,23776,11937,94368,11375,26560,24235,63258,21166,22475,25994,126772,71273,157826,110196,37516,18043,37088,8089,6942,27242,12125,393737,50685,6604,5370,5201,14564,1993,8070,5184,11099,5678,6046,2277,4273,5299,2283,2687,6290,4448,4525,5571,3129,2809,1929,4304,6214,5782,3120,2438,7579,5793,1448,2069,13066,3958,4264,3930,2719,2012,1776,2589,3849,1383,1799,1996,2740,875,2716,3655,2523,2154,4008,3070
hsa-mir-101-2,22305,8865,197675,14420,48781,432,221931,32991,14639,174,18157,66770,64750,46850,22820,15162,16805,40245,106991,23961,84554,46707,18676,46127,33403,21682,24282,12061,96425,11629,27085,25102,65530,21974,23089,26607,127702,71829,159495,112574,37647,18782,38063,7997,7142,28295,12648,395502,51084,6731,5470,5201,14704,2069,8031,5165,11206,5641,5917,2235,4253,5265,2251,2719,6432,4406,4557,5587,3053,2782,1901,4314,6275,5813,3155,2498,7483,5885,1383,2092,12789,4017,4193,3964,2846,1898,1757,2686,3825,1355,1807,1882,2650,906,2786,3598,2368,2154,4158,3056
hsa-mir-103a-1,210029,188364,331016,99183,151437,5472,252084,114128,135341,31735,171446,215921,210601,119501,73147,101805,53993,376725,392222,109708,206347,220590,163260,126428,329357,97352,179174,145664,89093,111698,156746,290723,100705,214602,148996,232867,117012,577960,255624,332933,58757,214021,195347,67373,99652,137642,139581,135169,94920,16641,22719,6878,20535,6345,18996,5692,16689,7477,5670,5362,15477,12935,2436,2292,6201,15121,3282,11925,3153,2321,4916,7003,6731,9267,6099,15247,8134,9093,7270,5793,9091,10099,5306,7584,6805,8944,7700,13064,17025,4236,9098,4124,8631,3840,12208,9091,12143,17470,15524,10744
